r,l,f,y,Demand
RE1,S101,COMELC,2043,3.5227
RE1,S101,COMELC,2044,3.5824
RE1,S101,COMELC,2045,3.642
RE1,S101,COMELC,2046,3.6836
RE1,S101,COMELC,2047,3.7251
RE1,S101,COMELC,2048,3.7667
RE1,S101,COMELC,2049,3.8082
RE1,S101,COMELC,2050,3.8498
RE1,S101,COMELC,2051,3.8927
RE1,S101,COMELC,2052,3.9361
RE1,S101,COMELC,2053,3.98
RE1,S101,COMELC,2054,4.0244
RE1,S101,COMELC,2055,4.0693
RE1,S101,COMELC,2056,4.1147
RE1,S101,COMELC,2057,4.1606
RE1,S101,COMELC,2058,4.207
RE1,S101,COMELC,2059,4.254
RE1,S101,COMELC,2060,4.3014
RE1,S101,COMELC,2061,4.3494
RE1,S101,COMELC,2062,4.3979
RE1,S101,COMELC,2063,4.447
RE1,S101,COMELC,2064,4.4966
RE1,S101,COMELC,2065,4.5467
RE1,S101,COMELC,2066,4.5974
RE1,S101,COMELC,2067,4.6487
RE1,S101,COMELC,2068,4.7006
RE1,S101,COMELC,2069,4.753
RE1,S101,COMELC,2070,4.806
RE1,S102,INDELC,2015,3.6595
RE1,S102,INDELC,2016,3.6595
RE1,S102,INDELC,2017,3.6595
RE1,S102,INDELC,2018,3.6595
RE1,S102,INDELC,2019,3.6595
RE1,S102,INDELC,2020,3.6595
RE1,S102,INDELC,2021,3.6595
RE1,S102,INDELC,2022,4.159
RE1,S102,INDELC,2023,4.2778
RE1,S102,INDELC,2024,4.3965
RE1,S102,INDELC,2025,4.5153
RE1,S102,INDELC,2026,4.6436
RE1,S102,INDELC,2027,4.7719
RE1,S102,INDELC,2028,4.9003
RE1,S102,INDELC,2029,5.0286
RE1,S102,INDELC,2030,5.1569
RE1,S102,INDELC,2031,5.3036
RE1,S102,INDELC,2032,5.4503
RE1,S102,INDELC,2033,5.597
RE1,S102,INDELC,2034,5.7436
RE1,S102,INDELC,2035,5.8903
RE1,S102,INDELC,2036,6.0084
RE1,S102,INDELC,2037,6.1265
RE1,S102,INDELC,2038,6.2446
RE1,S102,INDELC,2039,6.3627
RE1,S102,INDELC,2040,6.4808
RE1,S102,INDELC,2041,6.5964
RE1,S102,INDELC,2042,6.712
RE1,S102,INDELC,2043,6.8277
RE1,S102,INDELC,2044,6.9433
RE1,S102,INDELC,2045,7.0589
RE1,S102,INDELC,2046,7.1394
RE1,S102,INDELC,2047,7.22
RE1,S102,INDELC,2048,7.3005
RE1,S102,INDELC,2049,7.381
RE1,S102,INDELC,2050,7.4615
RE1,S102,INDELC,2051,7.5448
RE1,S102,INDELC,2052,7.6289
RE1,S102,INDELC,2053,7.714
RE1,S102,INDELC,2054,7.8001
RE1,S102,INDELC,2055,7.8871
RE1,S102,INDELC,2056,7.975
RE1,S102,INDELC,2057,8.064
RE1,S102,INDELC,2058,8.154
RE1,S102,INDELC,2059,8.2449
RE1,S102,INDELC,2060,8.3369
RE1,S102,INDELC,2061,8.4299
RE1,S102,INDELC,2062,8.5239
RE1,S102,INDELC,2063,8.619
RE1,S102,INDELC,2064,8.7151
RE1,S102,INDELC,2065,8.8124
RE1,S102,INDELC,2066,8.9107
RE1,S102,INDELC,2067,9.0101
RE1,S102,INDELC,2068,9.1106
RE1,S102,INDELC,2069,9.2122
RE1,S102,INDELC,2070,9.315
RE1,S102,RESELC,2015,1.411
RE1,S102,RESELC,2016,1.411
RE1,S102,RESELC,2017,1.411
RE1,S102,RESELC,2018,1.411
RE1,S102,RESELC,2019,1.411
RE1,S102,RESELC,2020,1.411
RE1,S102,RESELC,2021,1.411
RE1,S102,RESELC,2022,2.0762
RE1,S102,RESELC,2023,2.1355
RE1,S102,RESELC,2024,2.1948
RE1,S102,RESELC,2025,2.254
RE1,S102,RESELC,2026,2.3181
RE1,S102,RESELC,2027,2.3822
RE1,S102,RESELC,2028,2.4462
RE1,S102,RESELC,2029,2.5103
RE1,S102,RESELC,2030,2.5743
RE1,S102,RESELC,2031,2.6476
RE1,S102,RESELC,2032,2.7208
RE1,S102,RESELC,2033,2.794
RE1,S102,RESELC,2034,2.8672
RE1,S102,RESELC,2035,2.9405
RE1,S102,RESELC,2036,2.9994
RE1,S102,RESELC,2037,3.0584
RE1,S102,RESELC,2038,3.1173
RE1,S102,RESELC,2039,3.1763
RE1,S102,RESELC,2040,3.2352
RE1,S102,RESELC,2041,3.2929
RE1,S102,RESELC,2042,3.3507
RE1,S102,RESELC,2043,3.4084
RE1,S102,RESELC,2044,3.4661
RE1,S102,RESELC,2045,3.5238
RE1,S102,RESELC,2046,3.564
RE1,S102,RESELC,2047,3.6042
RE1,S102,RESELC,2048,3.6444
RE1,S102,RESELC,2049,3.6846
RE1,S102,RESELC,2050,3.7248
RE1,S102,RESELC,2051,3.7664
RE1,S102,RESELC,2052,3.8084
RE1,S102,RESELC,2053,3.8509
RE1,S102,RESELC,2054,3.8938
RE1,S102,RESELC,2055,3.9372
RE1,S102,RESELC,2056,3.9812
RE1,S102,RESELC,2057,4.0256
RE1,S102,RESELC,2058,4.0705
RE1,S102,RESELC,2059,4.1159
RE1,S102,RESELC,2060,4.1618
RE1,S102,RESELC,2061,4.2082
RE1,S102,RESELC,2062,4.2552
RE1,S102,RESELC,2063,4.3026
RE1,S102,RESELC,2064,4.3506
RE1,S102,RESELC,2065,4.3992
RE1,S102,RESELC,2066,4.4482
RE1,S102,RESELC,2067,4.4978
RE1,S102,RESELC,2068,4.548
RE1,S102,RESELC,2069,4.5987
RE1,S102,RESELC,2070,4.65
RE1,S102,COMELC,2015,1.4548
RE1,S102,COMELC,2016,1.4548
RE1,S102,COMELC,2017,1.4548
RE1,S102,COMELC,2018,1.4548
RE1,S102,COMELC,2019,1.4548
RE1,S102,COMELC,2020,1.4548
RE1,S102,COMELC,2021,1.4548
RE1,S102,COMELC,2022,2.1458
RE1,S102,COMELC,2023,2.2071
RE1,S102,COMELC,2024,2.2684
RE1,S102,COMELC,2025,2.3296
RE1,S102,COMELC,2026,2.3959
RE1,S102,COMELC,2027,2.4621
RE1,S102,COMELC,2028,2.5283
RE1,S102,COMELC,2029,2.5945
RE1,S102,COMELC,2030,2.6607
RE1,S102,COMELC,2031,2.7364
RE1,S102,COMELC,2032,2.8121
RE1,S102,COMELC,2033,2.8877
RE1,S102,COMELC,2034,2.9634
RE1,S102,COMELC,2035,3.0391
RE1,S102,COMELC,2036,3.1
RE1,S102,COMELC,2037,3.161
RE1,S102,COMELC,2038,3.2219
RE1,S102,COMELC,2039,3.2828
RE1,S102,COMELC,2040,3.3437
RE1,S102,COMELC,2041,3.4034
RE1,S102,COMELC,2042,3.4631
RE1,S102,COMELC,2043,3.5227
RE1,S102,COMELC,2044,3.5824
RE1,S102,COMELC,2045,3.642
RE1,S102,COMELC,2046,3.6836
RE1,S102,COMELC,2047,3.7251
RE1,S102,COMELC,2048,3.7667
RE1,S102,COMELC,2049,3.8082
RE1,S102,COMELC,2050,3.8498
RE1,S102,COMELC,2051,3.8927
RE1,S102,COMELC,2052,3.9361
RE1,S102,COMELC,2053,3.98
RE1,S102,COMELC,2054,4.0244
RE1,S102,COMELC,2055,4.0693
RE1,S102,COMELC,2056,4.1147
RE1,S102,COMELC,2057,4.1606
RE1,S102,COMELC,2058,4.207
RE1,S102,COMELC,2059,4.254
RE1,S102,COMELC,2060,4.3014
RE1,S102,COMELC,2061,4.3494
RE1,S102,COMELC,2062,4.3979
RE1,S102,COMELC,2063,4.447
RE1,S102,COMELC,2064,4.4966
RE1,S102,COMELC,2065,4.5467
RE1,S102,COMELC,2066,4.5974
RE1,S102,COMELC,2067,4.6487
RE1,S102,COMELC,2068,4.7006
RE1,S102,COMELC,2069,4.753
RE1,S102,COMELC,2070,4.806
RE1,S103,INDELC,2015,3.6595
RE1,S103,INDELC,2016,3.6595
RE1,S103,INDELC,2017,3.6595
RE1,S103,INDELC,2018,3.6595
RE1,S103,INDELC,2019,3.6595
RE1,S103,INDELC,2020,3.6595
RE1,S103,INDELC,2021,3.6595
RE1,S103,INDELC,2022,4.159
RE1,S103,INDELC,2023,4.2778
RE1,S103,INDELC,2024,4.3965
RE1,S103,INDELC,2025,4.5153
RE1,S103,INDELC,2026,4.6436
RE1,S103,INDELC,2027,4.7719
RE1,S103,INDELC,2028,4.9003
RE1,S103,INDELC,2029,5.0286
RE1,S103,INDELC,2030,5.1569
RE1,S103,INDELC,2031,5.3036
RE1,S103,INDELC,2032,5.4503
RE1,S103,INDELC,2033,5.597
RE1,S103,INDELC,2034,5.7436
RE1,S103,INDELC,2035,5.8903
RE1,S103,INDELC,2036,6.0084
RE1,S103,INDELC,2037,6.1265
RE1,S103,INDELC,2038,6.2446
RE1,S103,INDELC,2039,6.3627
RE1,S103,INDELC,2040,6.4808
RE1,S103,INDELC,2041,6.5964
RE1,S103,INDELC,2042,6.712
RE1,S103,INDELC,2043,6.8277
RE1,S103,INDELC,2044,6.9433
RE1,S103,INDELC,2045,7.0589
RE1,S103,INDELC,2046,7.1394
RE1,S103,INDELC,2047,7.22
RE1,S103,INDELC,2048,7.3005
RE1,S103,INDELC,2049,7.381
RE1,S103,INDELC,2050,7.4615
RE1,S103,INDELC,2051,7.5448
RE1,S103,INDELC,2052,7.6289
RE1,S103,INDELC,2053,7.714
RE1,S103,INDELC,2054,7.8001
RE1,S103,INDELC,2055,7.8871
RE1,S103,INDELC,2056,7.975
RE1,S103,INDELC,2057,8.064
RE1,S103,INDELC,2058,8.154
RE1,S103,INDELC,2059,8.2449
RE1,S103,INDELC,2060,8.3369
RE1,S103,INDELC,2061,8.4299
RE1,S103,INDELC,2062,8.5239
RE1,S103,INDELC,2063,8.619
